PassengerId	Pclass	Sex	Survived
1	3	male	0
2	1	female	1
3	3	female	1
4	1	female	1
5	3	male	0
6	3	male	0
7	1	male	0
8	3	male	0
9	3	female	1
10	2	female	1
11	3	female	1
12	1	female	1
13	3	male	0
14	3	male	0
15	3	female	0
16	2	female	1
17	3	male	0
18	2	male	1
19	3	female	0
20	3	female	1
21	2	male	0
22	2	male	1
23	3	female	1
24	1	male	1
25	3	female	0
26	3	female	1
27	3	male	0
28	1	male	0
29	3	female	1
30	3	male	0
31	1	male	0
32	1	female	1
33	3	female	1
34	2	male	0
35	1	male	0
36	1	male	0
37	3	male	1
38	3	male	0
39	3	female	0
40	3	female	1
41	3	female	0
42	2	female	0
43	3	male	0
44	2	female	1
45	3	female	1
46	3	male	0
47	3	male	0
48	3	female	1
49	3	male	0
50	3	female	0
51	3	male	0
52	3	male	0
53	1	female	1
54	2	female	1
55	1	male	0
56	1	male	1
57	2	female	1
58	3	male	0
59	2	female	1
60	3	male	0
61	3	male	0
62	1	female	1
63	1	male	0
64	3	male	0
65	1	male	0
66	3	male	1
67	2	female	1
68	3	male	0
69	3	female	1
70	3	male	0
71	2	male	0
72	3	female	0
73	2	male	0
74	3	male	0
75	3	male	1
76	3	male	0
77	3	male	0
78	3	male	0
79	2	male	1
80	3	female	1
81	3	male	0
82	3	male	1
83	3	female	1
84	1	male	0
85	2	female	1
86	3	female	1
87	3	male	0
88	3	male	0
89	1	female	1
90	3	male	0
91	3	male	0
92	3	male	0
93	1	male	0
94	3	male	0
95	3	male	0
96	3	male	0
97	1	male	0
98	1	male	1
99	2	female	1
100	2	male	0
101	3	female	0
102	3	male	0
103	1	male	0
104	3	male	0
105	3	male	0
106	3	male	0
107	3	female	1
108	3	male	1
109	3	male	0
110	3	female	1
111	1	male	0
112	3	female	0
113	3	male	0
114	3	female	0
115	3	female	0
116	3	male	0
117	3	male	0
118	2	male	0
119	1	male	0
120	3	female	0
121	2	male	0
122	3	male	0
123	2	male	0
124	2	female	1
125	1	male	0
126	3	male	1
127	3	male	0
128	3	male	1
129	3	female	1
130	3	male	0
131	3	male	0
132	3	male	0
133	3	female	0
134	2	female	1
135	2	male	0
136	2	male	0
137	1	female	1
138	1	male	0
139	3	male	0
140	1	male	0
141	3	female	0
142	3	female	1
143	3	female	1
144	3	male	0
145	2	male	0
146	2	male	0
147	3	male	1
148	3	female	0
149	2	male	0
150	2	male	0
151	2	male	0
152	1	female	1
153	3	male	0
154	3	male	0
155	3	male	0
156	1	male	0
157	3	female	1
158	3	male	0
159	3	male	0
160	3	male	0
161	3	male	0
162	2	female	1
163	3	male	0
164	3	male	0
165	3	male	0
166	3	male	1
167	1	female	1
168	3	female	0
169	1	male	0
170	3	male	0
171	1	male	0
172	3	male	0
173	3	female	1
174	3	male	0
175	1	male	0
176	3	male	0
177	3	male	0
178	1	female	0
179	2	male	0
180	3	male	0
181	3	female	0
182	2	male	0
183	3	male	0
184	2	male	1
185	3	female	1
186	1	male	0
187	3	female	1
188	1	male	1
189	3	male	0
190	3	male	0
191	2	female	1
192	2	male	0
193	3	female	1
194	2	male	1
195	1	female	1
196	1	female	1
197	3	male	0
198	3	male	0
199	3	female	1
200	2	female	0
201	3	male	0
202	3	male	0
203	3	male	0
204	3	male	0
205	3	male	1
206	3	female	0
207	3	male	0
208	3	male	1
209	3	female	1
210	1	male	1
211	3	male	0
212	2	female	1
213	3	male	0
214	2	male	0
215	3	male	0
216	1	female	1
217	3	female	1
218	2	male	0
219	1	female	1
220	2	male	0
221	3	male	1
222	2	male	0
223	3	male	0
224	3	male	0
225	1	male	1
226	3	male	0
227	2	male	1
228	3	male	0
229	2	male	0
230	3	female	0
231	1	female	1
232	3	male	0
233	2	male	0
234	3	female	1
235	2	male	0
236	3	female	0
237	2	male	0
238	2	female	1
239	2	male	0
240	2	male	0
241	3	female	0
242	3	female	1
243	2	male	0
244	3	male	0
245	3	male	0
246	1	male	0
247	3	female	0
248	2	female	1
249	1	male	1
250	2	male	0
251	3	male	0
252	3	female	0
253	1	male	0
254	3	male	0
255	3	female	0
256	3	female	1
257	1	female	1
258	1	female	1
259	1	female	1
260	2	female	1
261	3	male	0
262	3	male	1
263	1	male	0
264	1	male	0
265	3	female	0
266	2	male	0
267	3	male	0
268	3	male	1
269	1	female	1
270	1	female	1
271	1	male	0
272	3	male	1
273	2	female	1
274	1	male	0
275	3	female	1
276	1	female	1
277	3	female	0
278	2	male	0
279	3	male	0
280	3	female	1
281	3	male	0
282	3	male	0
283	3	male	0
